pl_name,hostname,ra,dec,sy_dist,sy_vmag,disc_year,discoverymethod
"TOI-1296 b","TOI-1296",256.7706392,70.2384806,323.26500000,11.3700000,2021,"Transit"
"K2-187 b","K2-187",132.5235618,23.1924709,330.91600000,13.1020000,2018,"Transit"
"Kepler-134 c","Kepler-134",284.7391156,49.5984448,334.79700000,12.3180000,2014,"Transit"
"Kepler-61 b","Kepler-61",295.3044942,42.4753193,335.07900000,15.2770000,2013,"Transit"
"Kepler-26 b","Kepler-26",284.9410627,46.5664505,335.30700000,15.8530000,2011,"Transit"
"TOI-4562 b","TOI-4562",112.0100593,-63.5177788,339.60500000,12.1400000,2023,"Transit"
"Kepler-1350 c","Kepler-1350",288.2506110,46.6794847,340.69100000,16.5770000,2016,"Transit"
"TOI-791 c","TOI-791",118.4347574,-69.7017359,341.22100000,11.0930000,2026,"Transit"
"Kepler-81 d","Kepler-81",293.6369437,42.8248275,348.29100000,15.2580000,2014,"Transit"
"Kepler-132 c","Kepler-132",283.2358100,41.3430370,349.54900000,11.9220000,2014,"Transit"
"HAT-P-49 b","HAT-P-49",305.4413294,26.6926759,350.35100000,10.2050000,2014,"Transit"
"WASP-46 b","WASP-46",318.7370122,-55.8718634,375.31000000,13.0430000,2011,"Transit"
"KOI-142 b","KOI-142",291.1481028,40.6694130,376.86300000,13.2090000,2013,"Transit"
"TOI-5110 b","TOI-5110",94.4042694,31.6103309,392.25900000,11.0600000,2024,"Transit"
"WASP-37 b","WASP-37",221.9438866,1.0650227,392.79100000,12.8150000,2010,"Transit"
"TOI-2525 b","TOI-2525",86.8509737,-60.5213081,395.39800000,14.2160000,2023,"Transit"
"Kepler-83 b","Kepler-83",282.2325197,43.6655662,400.40900000,16.1450000,2012,"Transit"
"K2-392 b","K2-392",354.6499065,-7.4788816,406.98500000,12.9220000,2022,"Transit"
"TOI-3807 b","TOI-3807",139.1125648,69.0741284,421.74500000,11.8560000,2023,"Transit"
"Kepler-1934 b","Kepler-1934",290.9193265,37.2871677,428.51400000,12.8740000,2021,"Transit"
"Kepler-329 c","Kepler-329",299.2681646,45.2272852,439.71900000,15.8860000,2014,"Transit"
"Kepler-278 c","Kepler-278",290.1072124,38.7022694,443.03000000,11.8110000,2014,"Transit"
"Kepler-106 e","Kepler-106",300.8640060,44.3375497,444.32200000,12.9230000,2014,"Transit"
"KELT-16 b","KELT-16",314.2685227,31.6610186,444.58600000,11.7170000,2017,"Transit"
"TOI-4377 b","TOI-4377",164.9324709,-82.2213501,455.82000000,11.7070000,2023,"Transit"
"HAT-P-40 b","HAT-P-40",335.5129199,45.4573423,464.46900000,11.3400000,2012,"Transit"
"Kepler-932 b","Kepler-932",296.9520797,43.2720233,465.61200000,14.3080000,2016,"Transit"
"Kepler-1947 b","Kepler-1947",296.1040313,42.3425818,468.77100000,12.9730000,2021,"Transit"
"Kepler-900 b","Kepler-900",296.1772720,46.9989635,487.52500000,15.1900000,2016,"Transit"
"Kepler-931 b","Kepler-931",297.1326937,42.7682885,490.00000000,14.6430000,2016,"Transit"
"Kepler-1581 b","Kepler-1581",287.3713199,39.6036225,493.17500000,12.4420000,2016,"Transit"
"Kepler-198 d","Kepler-198",290.6731326,38.6910045,495.35800000,13.6840000,2016,"Transit"
"KOI-1831 d","Kepler-324",286.4714473,49.6490933,501.57400000,14.2220000,2018,"Transit"
"Kepler-241 c","Kepler-241",292.9131121,41.0609786,512.00000000,15.7080000,2014,"Transit"
"Kepler-199 c","Kepler-199",295.5594278,40.2362490,521.05400000,13.7960000,2014,"Transit"
