source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,bp_rp
1381119031215320576,247.16079375745315,41.881650687920455,8.486623721850398,28.560299773638302,-6.402429210261193,,2.7236698,3.1317515
4049975081571729920,271.45176593069976,-30.424938157908525,32.26965661295192,-48.83893212325556,-204.8603974676837,,2.7243106,1.2346699
1887953690728237568,340.7506395031158,30.221130397877182,16.630835440035625,19.957041650494183,-18.971073148866992,,2.7250793,1.109237
2680356911816018048,331.44606406642515,-0.31989739999996836,4.94514532586508,18.590442703968645,-10.450029478158003,,2.727835,1.1494417
5239828735016184448,160.7389810431919,-64.39440583205966,7.6371045121724,-16.540817133170155,10.00229546039697,,2.7347076,0.055695772
3557567320183657472,162.40663105834716,-16.19275976302023,23.794020354103314,92.91161788227743,199.64220188539963,,2.7356641,1.3883028
3017190546641718144,83.85826322361507,-5.909896048091421,1.9968658285610956,-2.81577187123059,-1.69303154943788,,2.7408419,0.11113644
5698015743046182272,121.8856299797689,-24.304115553778075,51.39988628348321,-82.88573139167518,46.92999524626171,,2.7505891,0.78982997
4935615308047192576,22.091261274313453,-43.31915413670581,13.361166787925637,-17.71983638719699,-206.864433716605,,2.7603414,1.6890006
5610441600394646016,105.42975475577698,-27.934808608833123,2.508532778196012,-5.714240728055614,4.889613109119441,,2.7605493,1.7686272
1312665361414730624,250.31915796740566,31.604519240231134,,,,,2.7632272,0.9015522
4136366183978856960,257.5946814508237,-15.72447861063109,,,,,2.7693226,0.44946527
6071060144089351808,183.7860104400386,-58.748974282250245,7.168087771989562,-36.95082953617367,-11.296130411853484,,2.7730124,-0.007714033
6194563955869054848,199.7307355656656,-23.171710892760082,25.52860508281361,67.9557138676889,-44.29923851288874,,2.776534,1.1548169
3211922645854328832,76.9620005509911,-5.086810304091459,36.24560427650994,-88.48137357389295,-70.49687410279232,,2.7777147,0.43548036
6165699748417797504,200.1473375344814,-36.712670004585064,,,,,2.7811801,0.4684584
641662895638787584,146.46258258682883,23.7742057827888,14.33944287393727,-46.15399801533371,-10.798759173770152,,2.7839565,1.0609426
5826168461855385472,238.7838064740902,-63.43251144584002,80.48541193436336,-187.36581928502997,-401.1911000240785,,2.784391,0.62880015
6044420729667868928,248.97058883392532,-28.216118043025787,,,,,2.8028276,-0.01395607
4082115215112774272,287.440967928891,-21.02377872569698,6.241001258151316,-1.3525284261882966,-36.816792173281,,2.803014,0.6970482
2887731882922767744,87.74026611929386,-35.76651139745324,36.90381517096654,54.45215030399028,404.6004282430017,,2.8041787,1.2997231
4713424658275847168,29.694939353364006,-61.56973866594546,,,,,2.8074205,0.6097002
2255173119658513408,288.13986191145926,67.66194921202765,33.34994526763806,94.59853339300898,92.37402429966892,,2.8079169,1.2463834
168726523212358272,58.53304404662457,31.88359461391294,3.855550617532855,7.27424808859301,-9.14135670813523,,2.8219895,0.35094476
6838311796136238976,326.76139246141946,-16.128607188133948,85.94055985093036,259.7074391661449,-296.72127999345474,,2.836813,0.6872513
1824534959611831680,296.84697410021977,18.53431498544213,5.967380825829624,7.276983030772307,0.3182083939340873,,2.8368227,1.9357872
6875990375999580544,305.2529803545091,-14.781406001156812,8.396575006308046,44.133447193153046,0.3602279482402574,,2.8368742,1.0786076
205499655242974464,75.49223197537926,43.823296688371194,0.9878818319946335,0.8829651653173848,-3.06482445317715,,2.847648,0.96053123
6674382927491854848,309.3921343889334,-47.2912080024033,32.898854474949125,50.921628478362564,66.02564942441289,,2.8521497,1.2221763
2769202742740232960,3.3089703843753013,15.183550741446307,6.947422027434692,0.4915025684300727,-10.72983322504956,,2.8534293,0.09509516
3143264535611892096,111.78744022702931,8.289146534444166,,,,,2.856039,0.097438335
1823067317695766784,299.6895907690142,19.4922471120651,11.337545204585858,65.00494835300688,22.72079936785127,,2.8593628,1.6970007
2610370969483589888,343.1537089468947,-7.579451402482835,8.936000082367386,14.964393803765283,32.74227724801962,,2.8595295,1.9338799
4039970797062166400,267.4647360322948,-37.0432231563698,24.73401438925934,41.7174587158551,11.974986141863557,,2.860071,1.3463864
5958043164999014400,266.8961644868148,-40.127021345862346,1.4177487203133474,0.004687998609124916,-5.396295236578201,,2.8666828,0.9037235
2199493438511811712,332.7137697826255,58.20128527773775,3.2971978923053005,13.358975544208866,5.274814743911376,,2.8701382,1.5724754
583588100209595776,133.84799100696154,5.9456285938922715,21.313272879490093,-101.03709490331457,14.261244607726608,,2.8702028,1.1994629
5253347574087339776,154.27049434677835,-61.3322788093693,4.304645225574549,-25.587496093560038,5.812252489542484,,2.8710227,1.5570004
2858629802998456576,9.832595312681915,30.86050281776377,31.573488734557774,176.85629399879502,-108.17132628918509,,2.8720777,1.4206281
6235406071207202688,239.71290472790042,-26.114226866466353,9.673294610301134,-12.39941652411019,-26.21019748451426,,2.8735147,-0.06000185
5538814190283894656,116.31367447237092,-37.96856044058731,2.9459649267338475,-10.539646879888679,5.584357504332386,,2.875049,1.8465354
5949437149987478016,262.9601503332293,-49.87644249970017,,,,,2.8780158,0.234658
4444057469252265984,254.41575470820635,9.374984808370574,37.112505074250734,-292.63793453634236,-9.948193103141083,,2.8820894,1.3088837
5823248090239625088,229.72661750917953,-68.67968528286241,17.18088396465165,-65.81561640185238,-31.186621115818014,,2.882312,0.3196814
66714384142368256,56.87125084725649,24.10493447522506,,,,,2.896132,0.14834332
229898024422755840,59.463595170524904,40.0100950978535,5.331620151096612,16.84503530613945,-23.553843136836534,,2.904279,0.008548498
1517698716348324992,194.0056156711975,38.31862104268021,32.722737796620656,-233.7755313345049,55.034770927991445,,2.9043932,0.2194066
3402918982515591168,84.41119325636477,21.14245103416954,,,,,2.9119813,0.037825584
2079784488001577600,296.2439176177008,45.13102484391075,21.14741161121059,41.87016581274261,47.297743168717744,,2.9163165,0.2526536
6048602103663486592,245.29708594323918,-25.59288089269204,,,,,2.920874,0.42462492
2093931938472201600,283.62614120001314,36.89862858866195,4.235186837675473,-6.5978879360707055,1.9527840223340567,,2.922179,2.384991
892348694913501952,113.64979381874497,31.88850351976742,,,,,2.9247973,0.4128492
5249119024128109952,146.77535748906328,-65.07197322907481,3.7373040047368864,-13.011526727880746,7.637888627323537,,2.9269278,0.6949799
2281778105594488192,354.83578083298244,77.63312481414683,72.51669209892496,-64.86017762406422,171.15860250258777,,2.9429574,1.2568743
6270558110774003968,211.59312413128,-26.682988025787974,30.8889116729351,43.38128373019896,-140.95130845178275,,2.948431,1.3334074
3520586071217872896,187.46509027380262,-16.51605134463174,38.05998179765627,-209.27622914351525,-139.1843207728625,,2.9649055,0.19952226
6007749027577770496,230.4510369940133,-36.261754340239875,11.661557593684153,-91.2551568138423,-85.73567412146342,,2.965608,1.662416
6762701233364896000,286.734746992432,-27.67154143141872,28.319548249048147,-53.00095904927703,-253.30363661316218,,2.9668314,1.349406
1614731957531452544,231.23232031030997,58.966142735645974,32.52388531619131,-8.182586516680766,17.296024945644415,,2.9729202,1.3520339
4356298849169862784,244.58075014832895,-4.692331985478922,30.513634597436656,83.9156476548227,40.76265765863977,,2.977211,1.2300808
