OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2456 (730),2009-070A,2026-08-11T10:58:24.646080,2.13103512,.0002689,65.0452,69.0878,350.9163,186.9006,0,U,36111,999,12960,0,.16E-6,0
COSMOS 2457 (733),2009-070B,2026-08-12T03:53:00.218112,2.13100909,.00051597,65.0314,68.9068,124.6643,0.5801,0,U,36112,999,12962,0,.12E-6,0
COSMOS 2460 (732),2010-007C,2026-08-12T22:22:50.390688,2.13101497,.0001989,65.3842,312.5460,182.9211,175.5441,0,U,36402,999,12793,0,-.53E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2026-08-12T13:07:59.924640,2.00565101,.01275783,54.2660,206.2925,66.2354,114.1645,0,U,36585,999,11872,0,.2E-6,0
BEIDOU-2 IGSO-1 (C06),2010-036A,2026-08-11T19:50:59.449344,1.00256005,.00585006,54.3066,162.4579,224.7824,336.4868,0,U,36828,999,5865,0,-.16E-5,0
BEIDOU-2 G4 (C04),2010-057A,2026-08-12T21:19:57.213696,1.00271578,.0006713,3.7835,68.5574,179.6731,193.0997,0,U,37210,999,5786,0,-.13E-5,0
BEIDOU-2 IGSO-2 (C07),2010-068A,2026-08-12T12:14:31.700832,1.00263734,.00571955,47.4460,271.1262,214.5762,126.6415,0,U,37256,999,5735,0,-.172E-5,0
BEIDOU-2 IGSO-3 (C08),2011-013A,2026-08-11T20:28:36.467040,1.00253949,.00364588,62.4864,39.6277,183.6229,148.8204,0,U,37384,999,5621,0,-.15E-5,0
GSAT-8 (GAGAN/PRN 127),2011-022A,2026-08-13T03:40:41.382336,1.00271964,.0004161,2.2735,81.0924,152.5503,198.2160,0,U,37605,999,5378,0,.66E-6,0
BEIDOU-2 IGSO-4 (C09),2011-038A,2026-08-12T07:20:23.044992,1.00274081,.01603562,54.6043,165.1743,231.3881,128.9184,0,U,37763,999,5521,0,-.107E-5,0
GSAT0101 (GALILEO-PFM),2011-060A,2026-08-09T19:32:27.481344,1.70475554,.00014732,56.9749,340.3085,69.3728,290.6470,0,U,37846,999,9203,0,-.99E-6,0
GSAT0102 (GALILEO-FM2),2011-060B,2026-08-11T11:49:35.348736,1.70475809,.00017068,56.9738,340.2633,344.1467,11.7159,0,U,37847,999,9206,0,-.104E-5,0
COSMOS 2476 (744),2011-064A,2026-08-12T23:42:27.755136,2.13103613,.0021978,65.3037,70.9550,233.1002,307.2567,0,U,37867,999,11497,0,.9E-7,0
COSMOS 2477 (745),2011-064B,2026-08-11T09:06:32.111712,2.13102828,.00189649,65.3093,71.0892,233.5133,333.1945,0,U,37868,999,11493,0,.18E-6,0
COSMOS 2475 (743),2011-064C,2026-08-13T00:10:56.222688,2.13101561,.002432,65.3174,71.0564,248.6010,81.9750,0,U,37869,999,11497,0,.9E-7,0
LUCH 5A (SDCM/PRN 140),2011-074B,2026-08-12T21:21:42.046272,1.00269316,.0003264,8.8929,72.9637,98.2493,277.5522,0,U,37951,999,5362,0,-.68E-6,0
BEIDOU-2 G5 (C05),2012-008A,2026-08-13T03:41:41.286048,1.00268754,.0006324,3.7113,69.3016,254.9234,111.4848,0,U,38091,999,5294,0,.4E-6,0
BEIDOU-2 M3 (C11),2012-018A,2026-08-09T08:20:29.882976,1.86229831,.00219381,55.7090,303.0823,271.8456,87.9622,0,U,38250,999,9693,0,-.5E-6,0
BEIDOU-2 M4 (C12),2012-018B,2026-08-11T23:09:15.348672,1.86229397,.00131466,55.6066,302.2031,271.5330,88.3841,0,U,38251,999,9698,0,-.53E-6,0
SES-5 (EGNOS/PRN 136),2012-036A,2026-08-13T03:26:20.256000,1.00269521,.0002028,0.0434,307.1176,198.3646,232.6508,0,U,38652,999,4502,0,.16E-6,0
BEIDOU-2 M6 (C14),2012-050B,2026-08-12T05:04:02.030304,1.86230861,.00119751,56.5950,61.0433,4.2813,355.7989,0,U,38775,999,9435,0,-.22E-6,0
GSAT-10 (GAGAN/PRN 128),2012-051B,2026-08-13T01:10:38.796096,1.00272718,.0006642,0.0054,133.6292,332.9419,315.5773,0,U,38779,999,5066,0,-.183E-5,0
GPS BIIF-3  (PRN 24),2012-053A,2026-08-12T03:44:00.632832,2.00568419,.01838505,53.5922,141.3057,66.7671,295.1618,0,U,38833,999,10056,0,-.17E-6,0
