OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KOMPSAT-3A,2015-014A,2026-08-13T04:10:46.199712,15.57022786,.0050079,97.6904,220.8431,330.4690,29.3737,0,U,40536,999,63067,.23195E-3,.17641E-3,0
SENTINEL-2A,2015-028A,2026-08-13T04:59:05.288640,14.30820372,.0001332,98.5664,299.2407,89.4404,270.6931,0,U,40697,999,58188,-.38427E-4,-.144E-5,0
GAOFEN-8,2015-030A,2026-08-13T04:54:54.072864,15.47872371,.0007924,97.6877,62.0800,359.7075,0.4168,0,U,40701,999,62026,.1381E-3,.7091E-4,0
CARBONITE 1 (CBNT-1),2015-032D,2026-08-13T04:06:15.309792,14.83741835,.0015835,97.6534,40.8681,105.5215,254.7750,0,U,40718,999,59779,.61076E-4,.455E-5,0
YAOGAN-27,2015-040A,2026-08-13T04:42:26.935776,13.16071735,.0008986,100.1201,209.1162,82.7755,277.4380,0,U,40878,999,52516,-.78437E-3,-.34E-5,0
GAOFEN-9 01,2015-047A,2026-08-13T05:08:18.551040,14.82978841,.0026105,97.6251,258.3123,315.2822,44.6287,0,U,40894,999,58864,.55553E-4,.402E-5,0
YAOGAN-28,2015-064A,2026-08-13T04:11:19.354848,15.28065231,.0010113,97.3148,2.3257,358.1605,1.9596,0,U,41026,999,59938,.10767E-3,.2877E-4,0
YAOGAN-29,2015-069A,2026-08-13T04:30:02.393280,14.83126971,.0001629,98.0013,253.9052,140.8437,219.2895,0,U,41038,999,57907,.78319E-4,.584E-5,0
KENT RIDGE 1,2015-077B,2026-08-13T04:41:49.127136,15.23426361,.0008213,14.9789,201.9173,323.1574,36.8183,0,U,41167,999,58980,.63414E-4,.2317E-4,0
GAOFEN-4,2015-083A,2026-08-13T01:10:38.637984,1.00273976,.0003996,0.4989,83.6537,133.6258,227.5449,0,U,41194,999,3909,0,-.352E-5,0
